Name,Price,Price/KG,URL
Pineapple Each,4.99,$4.99 per 1 each,https://www.aldi.com.au/product/000000000000380272
Pink Lady Apples 1kg,4.99,$4.99 per 1 kg,https://www.aldi.com.au/product/000000000000380273
Pink Lady Apples Loose,1.0,$4.99 per 1 kg,https://www.aldi.com.au/product/000000000000380274
THE HERB GARDEN Potted Herb Each,3.49,$3.49 per 1 each,https://www.aldi.com.au/product/000000000000380279
Premium Red Seedless Grapes 400g,8.49,$21.23 per 1 kg,https://www.aldi.com.au/product/000000000000380281
Premium Strawberries 350g,3.79,$10.83 per 1 kg,https://www.aldi.com.au/product/000000000000380285
THE FRESH VEGGIE CO Prepacked Beetroot  250g,2.49,$9.96 per 1 kg,https://www.aldi.com.au/product/000000000000380286
R2E2 Mango Each,4.69,$4.69 per 1 each,https://www.aldi.com.au/product/000000000000380290
Raspberries 125g,4.49,$35.92 per 1 kg,https://www.aldi.com.au/product/000000000000380291
Red Apples 1kg,3.99,$3.99 per 1 kg,https://www.aldi.com.au/product/000000000000380292
Red Capsicum Loose,1.37,$5.49 per 1 kg,https://www.aldi.com.au/product/000000000000380294
Red Onions Loose,0.96,$4.79 per 1 kg,https://www.aldi.com.au/product/000000000000380297
Red Papaya Each,3.99,$3.99 per 1 each,https://www.aldi.com.au/product/000000000000380298
Red Sweet Potato 1kg,5.99,$5.99 per 1 kg,https://www.aldi.com.au/product/000000000000380303
THE FRESH SALAD CO Rocket Bagged 120g,1.99,$16.58 per 1 kg,https://www.aldi.com.au/product/000000000000380305
Rockmelon Each,3.99,$3.99 per 1 each,https://www.aldi.com.au/product/000000000000380307
Roma Tomatoes 480g,4.79,$9.98 per 1 kg,https://www.aldi.com.au/product/000000000000380308
THE HERB GARDEN Rosemary 10g,2.99,$2.99 per 10 g,https://www.aldi.com.au/product/000000000000380309
Royal Gala Apples 1kg,4.99,$4.99 per 1 kg,https://www.aldi.com.au/product/000000000000380311
Royal Gala Apples Loose,0.8,$4.99 per 1 kg,https://www.aldi.com.au/product/000000000000380312
THE FRESH SALAD CO Salad Leaf Mix 300g,3.99,$13.30 per 1 kg,https://www.aldi.com.au/product/000000000000380315
THE FRESH SALAD CO Salad Mix 120g,1.99,$16.58 per 1 kg,https://www.aldi.com.au/product/000000000000380316
THE FRESH SALAD CO Shredded Iceberg Lettuce 200g,1.99,$9.95 per 1 kg,https://www.aldi.com.au/product/000000000000380321
White Sliced Mushrooms 200g,3.49,$17.45 per 1 kg,https://www.aldi.com.au/product/000000000000380322
White Sliced Mushrooms 500g,5.99,$11.98 per 1 kg,https://www.aldi.com.au/product/000000000000380323
Snow Peas 250g,3.49,$13.96 per 1 kg,https://www.aldi.com.au/product/000000000000380324
Spring Onion Bunch,2.49,$2.49 per 1 each,https://www.aldi.com.au/product/000000000000380327
SPUDLITE Spudlite Potatoes 1.5kg,4.99,$3.33 per 1 kg,https://www.aldi.com.au/product/000000000000380328
Celery Sticks 300g,3.99,$13.30 per 1 kg,https://www.aldi.com.au/product/000000000000380330
Strawberries 500g,4.99,$9.98 per 1 kg,https://www.aldi.com.au/product/000000000000380331
THE FRESH SALAD CO Superleaf Salad Mix 120g,1.99,$16.58 per 1 kg,https://www.aldi.com.au/product/000000000000380334
Sweet Corn 500g,3.29,$6.58 per 1 kg,https://www.aldi.com.au/product/000000000000380335
Brown Cup Mushrooms 200g,4.99,$24.95 per 1 kg,https://www.aldi.com.au/product/000000000000380339
Tangold Mandarin 750g,3.79,$5.05 per 1 kg,https://www.aldi.com.au/product/000000000000380341
Tomatoes 800g,5.49,$6.86 per 1 kg,https://www.aldi.com.au/product/000000000000380347
Truss Tomatoes 500g,4.99,$9.98 per 1 kg,https://www.aldi.com.au/product/000000000000380348
Truss Tomatoes Loose,0.67,$4.79 per 1 kg,https://www.aldi.com.au/product/000000000000380349
Washed Potatoes Loose,0.56,$3.99 per 1 kg,https://www.aldi.com.au/product/000000000000380354
Washed Red Potatoes 2kg,6.99,$3.50 per 1 kg,https://www.aldi.com.au/product/000000000000380355
Washed White Potatoes 2kg,6.99,$3.50 per 1 kg,https://www.aldi.com.au/product/000000000000380356
Watermelon Loose,3.99,$3.99 per 1 kg,https://www.aldi.com.au/product/000000000000380357
White Seedless Grapes Loose,11.69,$12.99 per 1 kg,https://www.aldi.com.au/product/000000000000380367
White Cup Mushrooms 200g,3.49,$17.45 per 1 kg,https://www.aldi.com.au/product/000000000000380368
White Cup Mushrooms 500g,5.99,$11.98 per 1 kg,https://www.aldi.com.au/product/000000000000380369
Zucchini 500g,2.99,$5.98 per 1 kg,https://www.aldi.com.au/product/000000000000380378
Zucchini Loose,1.0,$4.99 per 1 kg,https://www.aldi.com.au/product/000000000000380380
Premium Blueberries 200g,6.99,$34.95 per 1 kg,https://www.aldi.com.au/product/000000000000397747
THE FRESH SALAD CO Creamy Pesto Pasta Premium Prepared Salad 500g,6.49,$12.98 per 1 kg,https://www.aldi.com.au/product/000000000000405256
THE FRESH SALAD CO Lentil Tabbouleh Salad 500g,6.49,$12.98 per 1 kg,https://www.aldi.com.au/product/000000000000405257
THE FRESH SALAD CO Coleslaw Salad 250g,2.99,$11.96 per 1 kg,https://www.aldi.com.au/product/000000000000405266
THE FRESH SALAD CO Pasta Salad 250g,2.99,$11.96 per 1 kg,https://www.aldi.com.au/product/000000000000405267
THE FRESH SALAD CO Potato Salad 250g,2.99,$11.96 per 1 kg,https://www.aldi.com.au/product/000000000000405268
THE FRESH SALAD CO Shredded Slaw Fine 400g,2.99,$7.48 per 1 kg,https://www.aldi.com.au/product/000000000000451200
Gold Kiwifruit 5Pack,4.99,$1.00 per 1 each,https://www.aldi.com.au/product/000000000000452948
Summerina Mandarins 750g,3.79,$5.05 per 1 kg,https://www.aldi.com.au/product/000000000000453456
NZ Green Kiwifruit 8Pack,5.99,$0.75 per 1 each,https://www.aldi.com.au/product/000000000000497968
Gmax Avocado 3Pack,5.49,$1.83 per 1 each,https://www.aldi.com.au/product/000000000000504358
THE FRESH SALAD CO Pumpkin and Mint Cous Cous Salad 500g,6.49,$12.98 per 1 kg,https://www.aldi.com.au/product/000000000000509600
THE FRESH SALAD CO Fresh & Fast Stir Fry 400g,2.99,$7.48 per 1 kg,https://www.aldi.com.au/product/000000000000526464
Long Capsicums each,1.49,$1.49 per 1 each,https://www.aldi.com.au/product/000000000000527731
HUGO'S FRESH Bean Sprouts 250g,2.29,$9.16 per 1 kg,https://www.aldi.com.au/product/000000000000529304
THE FRESH SALAD CO Coleslaw Salad 800g,5.99,$7.49 per 1 kg,https://www.aldi.com.au/product/000000000000533693
THE FRESH SALAD CO Pasta Salad 800g,5.99,$7.49 per 1 kg,https://www.aldi.com.au/product/000000000000533695
THE FRESH SALAD CO Potato Salad 800g,5.99,$7.49 per 1 kg,https://www.aldi.com.au/product/000000000000534032
Bravo Apples 750g,4.79,$6.39 per 1 kg,https://www.aldi.com.au/product/000000000000534562
THE FRESH SALAD CO Kaleslaw Salad Kit 350g,4.99,$14.26 per 1 kg,https://www.aldi.com.au/product/000000000000540561
THE FRESH SALAD CO Caesar Salad Bowl 200g,4.99,$24.95 per 1 kg,https://www.aldi.com.au/product/000000000000544548
THE FRESH SALAD CO Caesar Salad Bagged 290g,4.99,$17.21 per 1 kg,https://www.aldi.com.au/product/000000000000545492
Beans 375g,3.49,$9.31 per 1 kg,https://www.aldi.com.au/product/000000000000551738
