Name,Price,Price / KG,URL
Woolworths RSPCA Approved Chicken Thigh Skinless Fillets Small 500g - 750g,13.13,$17.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/119318
Woolworths Beef Scotch Fillet Steak Medium 280g - 800g,35.2,$44.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/675654
Macro Grass Fed Australian Beef Scotch Fillet 270g,15.0,$55.56 / 1KG,https://www.woolworths.com.au/shop/productdetails/175593
Thawed Marinara Mix,17.0,$17.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/593307
Woolworths Lamb Shanks 500g - 950g,13.3,$14.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/868940
Woolworths Buffalo Wings RSPCA Approved Chicken,9.0,$9.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/749838
Riverland Ham Shaved From The Deli,18.0,$18.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/67297
Woolworths Pork Loin Chop Medium 200g - 600g,9.6,$16.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/675623
Woolworths Heart Smart Extra Lean Pork Mince 500g,,,https://www.woolworths.com.au/shop/productdetails/666557
Woolworths Diced Beef Casserole 500g,12.0,$24.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/675483
Woolworths 4 Angus Quarter Pound Beef Burgers 454g,9.0,$19.82 / 1KG,https://www.woolworths.com.au/shop/productdetails/901703
Woolworths RSPCA Approved Chicken Kebab Satay each,1.4,$1.40 / 1EA,https://www.woolworths.com.au/shop/productdetails/315147
Woolworths Pork Leg Roast Boneless 1.2kg - 2.6kg,31.2,$12.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/764527
Ingham's Turkey Breast Mince 400g,10.0,$25.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/840244
Woolworths Lamb Easy Carve Leg Roast 900g - 1.4kg,32.2,$23.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/200152
Woolworths 6 Stacker Beef Burgers 500g,8.5,$17.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/899859
Woolworths Chicken Bulk Schnitzels 1.5kg,15.5,$10.33 / 1KG,https://www.woolworths.com.au/shop/productdetails/134036
Primo Roast Beef Sliced From The Deli,,,https://www.woolworths.com.au/shop/productdetails/961761
Luv-A-Duck Confit Duck Legs Slow Cooked 450g,14.5,$32.22 / 1KG,https://www.woolworths.com.au/shop/productdetails/964292
Moira Mac's Chicken Breast Supreme Shaved From The Deli,16.5,$16.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/67299
D'Orsogna Streaky Bacon 500g,13.0,$26.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/727933
Woolworths Beef Lasagne 2kg,14.0,$0.70 / 100G,https://www.woolworths.com.au/shop/productdetails/194648
Woolworths Pork Fillet Heart Smart 250g - 600g,12.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/675671
Woolworths Cook Beef Pepper Steaks 300g,8.0,$26.67 / 1KG,https://www.woolworths.com.au/shop/productdetails/54241
Macro Grass Fed Beef Rump Steak 300g,12.5,$41.67 / 1KG,https://www.woolworths.com.au/shop/productdetails/285093
Woolworths Classic Cumberland Pork Sausages 500g,,,https://www.woolworths.com.au/shop/productdetails/83728
Woolworths RSPCA Approved Chicken Mince 500g,6.0,$12.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/360563
Woolworths Southern Fried Chicken Thigh Fillet Burgers 350g,9.0,$25.71 / 1KG,https://www.woolworths.com.au/shop/productdetails/134085
Macro Free Range Chicken Breast Schnitzel 500g,13.0,$26.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/114251
Woolworths Gourmet Pork Sausages Italian Style With Fennel & Garlic 450g,9.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/898511
Tassal Atlantic Salmon Skin On 300g,14.0,$46.67 / 1KG,https://www.woolworths.com.au/shop/productdetails/630332
Macro Organic Lean Beef Mince 500g,14.5,$29.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/672975
Ocean Chef Atlantic Salmon Portions Skin On 1kg,24.0,$24.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/763541
Woolworths RSPCA Approved Chicken Wings Three Joint,6.5,$6.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/23173
Woolworths Lamb Forequarter Chops 4 - 6 Pieces 800g - 1.3kg,29.9,$23.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/765062
Bertocchi Gold Long Rindless Premium Bacon 400g,11.0,$27.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/6000087
Woolworths Chicken Schnitzels Garlic & Herb 600g,9.0,$15.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/134082
